,City,Location,Job_Title,Company,Salary,Description
152,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
153,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
154,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
155,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
156,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
157,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
158,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
159,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
160,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
161,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
162,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
163,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
164,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
165,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
166,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
167,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
168,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
169,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
170,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
171,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
172,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
173,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
174,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
175,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
176,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
177,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
178,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
179,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
180,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
181,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
182,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
183,New York,"New York, NY",Data Scientist - Financial Services,Harnham,150000.0,"Data Scientist - Financial Services. Our client is interested in hiring a Data Scientist, essentially with experience analyzing financial and econometric data..."
184,New York,"New York, NY",Chief Data Scientist - Consulting,Harnham,220000.0,Chief Data Scientist - Consulting. Chief Data Scientist | Data Science | Insurance | Management Consulting | Project Management | Statistical Modeling....
185,New York,"New York, NY",Data Scientist,Workbridge Associates,120000.0,"An exciting start up located in the heart of Midtown NYC is looking to hire a full-time Data Scientist, paying up to $135k...."
186,New York,"New York, NY",Data Scientist,Big Cloud,150000.0,"Are you an experienced, talented and creative Data Scientist who likes solving complex problems? An exciting, innovative company in the heart of New York are..."
187,New York,"New York, NY",Junior Data Scientist (2 Years Experience),Averity,85000.0,"We prefer Data Scientists with a Master's Degree. As an experienced Junior Data Scientist on our team, you will be utilizing your machine learning skills with..."
188,New York,"New York, NY",Data Scientist for a growing cyber security company located...,Workbridge Associates,125000.0,The data scientist will develop algorithms and analytic solutions to prepare for research and development testing....
189,New York,"New York, NY",Wade & Wendy_Data Scientist/Engineer,Wade & Wendy,100000.0,"Our Data Scientist will integrate data from web sources, real-time adaptive questioning, and human-intelligence, to develop algorithms that create smart..."
190,New York,"New York, NY",Data Scientist,VROOM,115000.0,"As one of Vroom’s first data scientists you will be instrumental in establishing a data driven culture across the company, in creating data standards and..."
191,Long Island City,"Long Island City, NY",Sr. Data Scientist for Global Organization,Averity,100000.0,Data Scientist to join our company's Operational Analytics team. This is an opportunity for an experienced Data Scientist to use your passion for advanced...
192,New York,"New York, NY",Quantitative Analyst for Global Quant Fund,Averity,225000.0,Examine and analyze data to increase alpha and decrease risk. Industry leading multi-billion dollar quant fund looking for Analysts that can drive quantitative...
193,New York,"New York, NY",Quantitative Analyst,StreetID,120000.0,Professional or academic experience working with large/noisy data sets. The emphasis here will be on hiring exceptional talent with a passion for turning...
194,New York,"New York, NY",City Research Scientist II,City of New York,77975.0,"City Research Scientist II. OER also addresses key policy-relevant research questions, with research activities that include statistical analyses of..."
195,New York,"New York, NY",Senior Research Staff Assistant,Columbia University,50000.0,"Work with scientists to conduct quality control, integrate and interpret data. Process and analyze airborne geophysical data including potential field data...."
196,New York,"New York, NY",Senior / Director Data Science,Beeswax,147500.0,"A minimum of 5 years experience in Machine learning, large-scale data mining, or applied data science. We’re seeking a senior data scientist in New York City to..."
197,New York,"New York, NY",Senior Data Scientist (Media),Averity,150000.0,We are looking for a Senior Data Scientist excited about the thought of heading up our new Data Science group....
198,New York,"New York, NY 10018 (Clinton area)",Lead Data Engineer,ingenium,200000.0,Lead and manage a team of data engineers and scientists working on firm's data pipeline. Data - Lead Software Engineer....
199,New York,"New York, NY",Senior Data Scientist,Workbridge Associates,125000.0,This role is for a Senior Data Scientist who has previous leadership experience and is capable of hiring addition Data Scientists as the role grows....
200,New York,"New York, NY",Equity Research Analyst - Power & Utilities,Spencer Ogden,115000.0,"Urgently seeking Equity Research Analysts, specifically with Power experience, to work for a Private Equity firm within Power and EnergyTech Industry. More"
201,New York,"New York, NY 10167 (Midtown area)",C++/Python Algo Developer/Data Scientist,Selby Jennings,135000.0,"Previous knowledge of data structures and standard algorithms. My client, a leading investment bank located in midtown Manhattan, is looking for a strong C++..."
202,New York,"New York, NY",Data Scientist / Python Developer,"The Hagan-Ricci Group, Inc.",250000.0,New York City financial services firm is seeking an experienced Data Scientist with strong Python development skills to work collaboratively with quants and IT...
204,New York,"New York, NY 10167 (Midtown area)",Research Scientist - High Frequency Trading,Selby Jennings,212500.0,Research Scientist - High Frequency Trading. An opportunity exists for an exceptional research scientist with a proven track record of cutting edge research...
205,New York,"New York, NY",Senior Machine Learning Engineer,Workbridge Associates,140000.0,"Experience with data manipulation:. Big Data experience such as Hadoop, Spark, Scala, or Cassandra. One of the most successful and industry leading company has..."
206,New York,"New York, NY",Lead Data Scientist,Net-Consultants,160000.0,"Guide junior data scientists in aggregating and exploring applicant data to test statistical hypotheses. Our client, a small, early stage, high growth company..."
207,New York,"New York, NY",Data Scientist,Smith Hanley Associates,82500.0,Missing data imputation. Conduct basic research that draws on existing company data to study different aspects of consumer reporting performance and POS data...
208,New York,"New York, NY 10017 (Midtown area)",FinTech Data Analyst / Scientist,Integrated Management Resources,120000.0,"Big Data, Data Analysis. Provide expertise in big data analytics, data mining and regulations surrounding data transport...."
209,New York,"New York, NY",REVENUE ANALYST (STATISTICAL/ TIME SERIES ANALYSIS BACKGROUN...,Parker and Lynch,87500.0,Data analysis which includes working with large pools of data and manipulating information to perform analysis for management....
210,New York,"New York, NY",Data Scientist,TW Staffing Solutions,199000.0,"Data Scientist - New York (total compensation $199,000). Obtain a solid fundamental knowledge into Big Data research, gaining high level exposure to multiple..."
211,New York,"New York, NY","Director, Data Scientist Modeler",Harnham,180000.0,"Director, Data Scientist Modeler. Essentially as a Data Scientist Modeler -Director and senior professional, you will always be required to solve challenging..."
212,New York,"New York, NY",Sr. Quantitative Finance Analyst,Next Generation Recruitment & Staffing Agency,160000.0,"Our client, a leader financial institution Bank of America, is seeking a Sr. Quantitative Finance Analyst in NEW YORK, New York. Job description Responsible"
213,New York,"New York, NY 10167 (Midtown area)",Quantitative Research – Machine Learning,Selby Jennings,200000.0,"Extract and analyze data from large, complex data sets. Experience manipulating large, complex data sets. Fluency in some selection of programming languages and..."
214,New York,"New York, NY",Senior Data Scientist for Hedge Fund,Averity,200000.0,"Are you Senior Data Scientist looking to join a Multi-Billion Dollar Hedge Fund? Experience with Big Data Concepts (Hadoop, Spark)...."
215,Brooklyn,"Brooklyn, NY 11236 (Canarsie area)","Director of Data Analysis, DCP",New York City Department of Education .,71764.0,Ensure data integrity in reporting. The Director of Data Analysis will report to the DCP Chief of Staff and assume responsibility for managing the data...
216,New York,"New York, NY 10018 (Clinton area)",Data Scientist,Princeton Consulting,150000.0,Ability to visualize and communicate data science concepts to other team members and the business. With that being said an ideal candidate should have...
217,New York,"New York, NY","Sr. Analyst, Digital Research",RAZR Recruiting + Consulting,80000.0,Experience with analyzing both online and TV data a plus. Track and analyze digital traffic for their entertainment content across all platforms (on/off domain...
218,New York,"New York, NY",Tableau Developer,Averity,80000.0,"As a Tableau Developer in our Data Science team, you will be work in collaboration with our data scientists to help our company maintains its status as the..."
219,New York,"New York, NY 10022 (Midtown area)",Quantitative Analyst (Fundamental Quant Equities) - Hedge Fu...,Datacom Technology Group,200000.0,"Should have experience conducting empirical research and working with large fundamental data sets. Will analyze and interpret relevant data, use valuation..."
220,New York,"New York, NY",Executive Director of Data Engineering,Averity,215000.0,"Enabling our Data Scientists to create products easier with our data. First and foremost, as the Executive Director of Data Engineering, you will be leading our..."
221,New York,"New York, NY",Executive Director of Data Engineering (Media),Averity,215000.0,"Enabling our Data Scientists to create products easier with our data. First and foremost, as the Executive Director of Data Engineering, you will be leading our..."
222,New York,"New York, NY",climate scientist,Research Foundation of The City University of New...,61500.0,"Experience with data analysis and statistical software, such as R, IDL, Matlab, etc. Experience in analysis of climate data and GCM/RCM output for developing..."
223,New York,"New York, NY",Research Analyst,Pro Partners Staffing,80000.0,Collect returns and exposure data for performance attribution and risk analysis. We are seeking a manager research analyst for a full-time position with an...
224,New York,"New York, NY 10167 (Midtown area)",Quantitative Analyst - Credit Risk,Selby Jennings,120000.0,A Top Tier Investment Bank is looking for an experienced risk quant to join their Global Analytics team. This person will be Responsible for independently
225,New York,"New York, NY",Quantitative Finance Analyst,FusionFind,150000.0,"Responsible for independently conducting quantitative analytics and complex modeling projects. Leads efforts in development of new models, analytic processes"
226,New York,"New York, NY 10167 (Midtown area)",Hedge Fund Data Scientist,Selby Jennings,150000.0,Senior Data Scientist. A hedge fund with over 11 billion in AUM in NYC is looking for an experienced Data Scientist with an impressive educational background...
227,New York,"New York, NY 10167 (Midtown area)",Data Scientist Hedge Fund New York,Selby Jennings,157500.0,Data Scientist/Data Engineer. A well established hedge fund in New York City is looking to bring on a talented data scientist to their data team....
228,New York,"New York, NY",Big Data Analytics Engineer,Averity,100000.0,"As a Data Engineer in our Data Engineering team, you will be work in collaboration with other data engineers and data scientists to help our company maintains..."
229,New York,"New York, NY",Modeler/Policy Analyst,NYC Department of Finance,73357.0,"Strong programming, data analysis, statistical sampling and data mining experience. Prepare reports and respond to ad-hoc queries, data and reporting requests...."
230,New York,"New York, NY",Health Scientist,Centers for Disease Control and Prevention,117437.5,Analyze scientific investigation data. The Centers for Disease Control and Prevention (CDC) is the agency Americans trust with their lives....
231,New York,"New York, NY 10016 (Gramercy area)",Research Analyst,Green Key Resources,80000.0,"Screen marketplace quality through analysis of data points, analysis of third party reporting and manual checks of publishers and data sources...."
232,Long Island City,"Long Island City, NY 11101",Field Researcher,New York City Department of Health and Mental Hygi...,68239.0,"Two years as a City Research Scientist Level I can be substituted for the experience required in ""1"" and ""2"" above...."
233,New York,"New York, NY",Big Data Engineer,Harnham,110000.0,You will join the data engineering team and work closely with the data scientists as well. Big Data Engineer....
234,New York,"New York, NY 10065 (Upper East Side area)",Blood Bank QC Technologist,Lighthouse Recruiting,58000.0,Join our Medical Laboratory Scientists Groups:. This position will perform hematological pre and post testing on specimens received from the collection sites...
235,New York,"New York, NY",Senior Research Worker - Endocrinology,Columbia University,,"The incumbent is also expected to assist in data collection. In addition, the incumbent will perform the necessary quality controls to monitor the material..."
236,Long Island City,"Long Island City, NY 11101",Senior Analyst (Biostatistician or Epidemiologist),New York City Department of Health and Mental Hygi...,88331.0,"-Experience with inferential statistical analyses, publishing peer-reviewed articles, study design, data manipulation, surveillance/health data, and grant..."
237,New York,"New York, NY",Research Analyst - Financial Services,"Preqin,Inc.",45625.0,"Research, Customer Service, Data Entry:. Strong analytical orientation that makes you comfortable working with numerical data sets...."
238,New York,"New York, NY",Lead / Senior Data Scientist for Digital Media Company,Averity,175000.0,"Are you a Senior Data Scientist looking to lead and grow our company's newly formed Data Science team? As a Senior / Lead Data Scientist, you will be leading..."
239,New York,"New York, NY","Data Scientist - Text Analytics - SQL, R, SAS",Geode Executive Search,200000.0,"Data Scientist - Text Analytics - SQL, R, SAS*. The ~600 person company has a relatively new Data Analytics department, which has the responsibility of..."
240,New York,"New York, NY",Research Staff Assistant,Columbia University,40480.0,"Processes, organizes and summarizes data, reporting experiment results using a variety of scientific, word processing, spreadsheet or statistical software..."
241,New York,"New York, NY","Analyst, Strategy & Insights – Custom Research - copy",Univision communications inc,55000.0,"Infographics, visual data representation skills a plus. Comfortable working with large data files and cross tabs...."
242,New York,"New York, NY 10016 (Gramercy area)",Quantitative Analyst,Green Key Resources,195000.0,"Qualifications Masters in Mathematics, Physics or Quantitative Finance 7+ years of relevant experience in Risk, Modelling or related industry Attention to"
243,New York,"New York, NY",Quantitative Business Analyst,JEG Search,60000.0,The ideal candidate would have business analysis skills honed in a consulting or technology company where data analysis is a core activity....
244,New York,"New York, NY",Senior Data Scientist for Humanitarian Organization,Averity,127500.0,Are you a Senior Data Scientist who is passionate about big data and looking to make a real difference in the word?...
245,New York,"New York, NY",Business Analyst - Supply,VROOM,120000.0,Work with our Data Scientists to develop proactive acquisition models and machine learning algorithms to identify supply and demand....
246,New York,"New York, NY",Technician B - Nephrology,Columbia University,,The technician will also analyze DNA and RNA sequence data and will gain exposure to analysis and validation of Next-Generation Sequencing data....
247,New York,"New York, NY 10167 (Midtown area)",Senior Equity Research Analyst,Selby Jennings,175000.0,Senior Equity Research Analyst The firm is expanding their Equity Research department and looking for highly experienced Sell Side Equity Research Analysts
248,New York,"New York, NY",Machine Learning Researcher,Execu | Search,125000.0,Data collection and analysis. Demonstrated ability to conduct independent research utilizing large data sets....
249,New York,"New York, NY",Data Scientist,Talon,120000.0,Our client is looking for a highly driven and experienced Data Scientist to join our team in building out the core ranking and recommendation algorithms in our...
250,New York,"New York, NY 10039 (Harlem area)","Senior Scientist, Upstream Biologics Process Development",Laguna Source,100000.0,"In this role, you will be a key contributor as well as leading Project Teams comprised of dynamic, highly technical Engineers and Scientists...."
251,New York,"New York, NY",Lead Data Scientist (New Jersey),Averity,140000.0,We are hiring a Lead Data Scientist for our growing Data Science team here at one of the world's largest and most respected companies....
252,New York,"New York, NY 10016 (Gramercy area)",Senior Data Scientist for Fortune 500 Company,Averity,107500.0,"As a Data Scientist, you will be proficient in SAS and SQL and will utilize your big data and predictive modeling skills to analyze and interpret massive..."
253,New York,"New York, NY 10167 (Midtown area)",Catastrophe Risk Analyst - Quantitative,Selby Jennings,97500.0,This is for a Portfolio Analyst with one of the world’s largest asset managers - dedicated to natural catastrophe and weather related risk. Responsibilities
254,Orangeburg,"Orangeburg, NY","Research Scientist 5 - part time, Nathan Kline Research Inst...","Mental Health, Office of",26143.0,"This person will lead grant writing efforts to secure federal, private, and government funding for robust research and evaluation, manuscript development, and..."
